"approach","predictor","fuser","HYBAS_ID","kge_final","rmse_final"
"ML","PRCP","rf","Ankobra",0.838937584225848,40.1832641009455
"ML","PRCP","rf","Ayensu",0.768077514849364,1.31751445109778
"ML","PRCP","rf","Densu",0.780962013320935,2.78348222166255
"ML","PRCP","rf","Kakum",0.774999936196751,3.37685992680373
"ML","PRCP","rf","Ochi-Nakwa",0.775904906581829,2.10389684027761
"ML","PRCP","rf","Pra",0.908531866127926,19.8050275513813
"ML","PRCP","rf","Tano",0.78843598855033,113.313411620691
